distrito_real,precio_promedio,cantidad,latitud_centro,longitud_centro
Ancón,592664.8076923077,26,-11.784502926330001,-77.16979282438
Asia,1099731.8341708542,199,-12.785536199182301,-76.5845914360562
Ate Vitarte,647919.7777777778,135,-12.053801028596105,-76.95456398113244
Aucallama,495441.25,4,-11.572846273043229,-77.17668036137695
Barranca,808179.8,5,-11.02988768637987,-77.58555422568054
Barranco,970476.1875,32,-12.143858118611668,-77.01750256230507
Breña,1464090.4210526317,19,-12.058200791822223,-77.05212160876111
Callao,1058460.5,10,-12.044591293288956,-77.11213419735175
Canta,447000.0,2,-11.674031682399999,-76.81363630889999
Carabayllo,538782.8,65,-11.898602362397853,-77.00975504403209
Cañete,808725.8541919806,823,-12.741837292880716,-76.41918015098045
Cerro Azul,670689.2894736842,76,-12.883961341027302,-76.5434134431544
Chaclacayo,1077117.4473684211,38,-11.98652717374609,-76.8245670120853
Chorrillos,1367458.88,200,-12.218149335140486,-76.99014809003383
Chosica (Lurigancho),384957.86666666664,15,-11.999428401271054,-76.88985331499322
Cieneguilla,1217501.5789473683,19,-12.119006221222964,-76.81588509384285
Comas,628026.5454545454,33,-11.933636743225003,-77.04990449047189
El Agustino,1052344.5555555555,9,-12.030747493831312,-77.0024001889472
Huaral,957757.7058823529,17,-11.538990185715777,-77.25959627515694
Huarochiri,1260000.0,1,-11.9126935,-76.54159779999999
Huarochirí,1162579.3823529412,34,-11.941511146849146,-76.61122041465464
Huaura,1081525.0,28,-10.997184751749609,-77.49501434758538
Imperial,643200.0,2,-13.0610125,-76.352319
Independencia,280375.0,2,-11.9847486,-77.055036
Jesús María,644491.9130434783,23,-12.082351634217394,-77.04997088305853
La Molina,2058105.3485086341,637,-12.085832288056984,-76.92604939180747
La Victoria,695590.0756302521,119,-12.083786560142814,-77.02033263146335
Lima,1043373.7106594048,10282,-12.08805212548726,-77.00782114911911
Lima Cercado,647281.5388888889,180,-12.069398797089976,-77.03944406170955
Lince,809891.84375,32,-12.086372897721892,-77.03488628369867
Los Olivos,557083.0568720379,211,-11.945755536213433,-77.08144191370054
Lurín,1082600.5625,112,-12.251937814258994,-76.870128429836
Magdalena,774556.3571428572,56,-12.071223774055921,-77.05154832657627
Mala,925400.9027777778,72,-12.69380837893916,-76.63465918747931
Miraflores,1283569.9608695651,460,-12.202297169006659,-76.96289170349208
Pachacamac,1110575.2572815535,206,-12.185862037211312,-76.87186039103827
Pucusana,872821.8064516129,31,-12.460061177503377,-76.79270646331487
Pueblo Libre,864502.5128205129,39,-12.07984853615351,-77.05604249000663
Puente Piedra,928454.8484848485,33,-11.889269019031572,-77.08409769671005
Punta Hermosa,1411955.111111111,45,-12.326876150431065,-76.83154166550891
Punta Negra,766945.3333333334,63,-12.34210598992867,-76.81534589742654
Rímac,312926.5,14,-12.027704261538462,-77.0291190923077
San Bartolo,950941.25,24,-12.372579452447463,-76.79197434148017
San Borja,1257039.7574257427,202,-12.101174055476823,-76.99178405005728
San Isidro,1622430.2095490717,377,-12.099029004490456,-77.03308522889253
San Juan de Lurigancho,875953.4305555555,72,-11.999424474692999,-76.98575727751783
San Juan de Miraflores,579248.6363636364,55,-12.158126602881127,-76.97296783041986
San Luis,1102685.5625,16,-12.085657140742851,-76.99274215713768
San Martín de Porres,577209.9402985075,67,-11.99861378649413,-77.08110793395718
San Miguel,828247.3399433427,353,-12.105631566160815,-76.99654485650407
San Vicente De Cañete,1107174.3333333333,3,-13.13673061041105,-76.34864193863564
Santa Anita,1084218.5185185184,27,-12.044883939857023,-76.96915639931701
Santa Maria,304000.0,2,-11.0822688,-77.5810319
Santa Maria Del Mar,1618000.0,8,-12.41160955,-76.77767043333333
Santa Rosa,436850.0,2,-11.799923580072576,-77.15711065925873
Santiago de Surco,1349179.8977879481,1311,-12.106689068101026,-76.91300333782279
Surquillo,616126.6211180125,161,-12.116680630498042,-77.0055119935043
Villa María del Triunfo,464848.87096774194,31,-12.180425680705907,-76.94068012315198
Villa el Salvador,1163244.6666666667,15,-12.206813870398232,-76.9518248574063
